date;heat_demand;temp_feed_flow;temp_back_flow;hp_P_max;hp_P_min;hp_c_1;hp_c_0;ice_P_max_woDH;ice_eta_el_max;ice_P_min_woDH;ice_eta_el_min;ice_H_L_FG_share_max;ice_H_L_FG_share_min;ice_Q_in;el_spot_price;gas_price;co2_price;ef_om;ef_dm
02.01.2019 22:00;3.893700523;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;55.13;24.134;22.95;0.463822373;0.713600236
02.01.2019 23:00;3.938340424;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;50.76;24.134;22.95;0.462299635;0.705295654
03.01.2019 00:00;4.094548242;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;42.91;24.134;22.95;0.458253659;0.69886676
03.01.2019 01:00;4.116627831;66;38;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;45.22;24.134;22.95;0.460614319;0.703710627
03.01.2019 02:00;4.320632852;66;38;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;45.63;24.134;22.95;0.467349733;0.707269645
03.01.2019 03:00;4.747798019;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;44;24.134;22.95;0.463355939;0.705287242
03.01.2019 04:00;5.408189111;71;38;1.379773466;0.535918619;3.394941274;-0.58173481;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;43.88;24.134;22.95;0.455261693;0.701503343
03.01.2019 05:00;5.778864236;71;38;1.379773466;0.535918619;3.394941274;-0.58173481;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;45.92;24.134;22.95;0.45954402;0.705571276
03.01.2019 06:00;5.97728885;71;38;1.379773466;0.535918619;3.394941274;-0.58173481;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;51.07;24.134;22.95;0.477814815;0.710550464
03.01.2019 07:00;5.944956352;71;38;1.379773466;0.535918619;3.394941274;-0.58173481;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;52.77;24.134;22.95;0.486151414;0.709316637
03.01.2019 08:00;5.890232171;71;38;1.379773466;0.535918619;3.394941274;-0.58173481;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;62.89;24.134;22.95;0.491310306;0.71441138
03.01.2019 09:00;5.994887936;73;38;1.394728463;0.541826197;3.265289612;-0.555313704;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;60.03;24.134;22.95;0.49638404;0.718053598
03.01.2019 10:00;6.346000701;80;38;1.450140206;0.559370372;2.787246368;-0.428382177;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;58.19;24.134;22.95;0.504193819;0.720117303
03.01.2019 11:00;5.729139752;80;38;1.450140206;0.559370372;2.787246368;-0.428382177;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;62.99;24.134;22.95;0.512028166;0.720044475
03.01.2019 12:00;4.246773353;73;38;1.394728463;0.541826197;3.265289612;-0.555313704;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;63.52;24.134;22.95;0.522100415;0.724085938
